Model A (Trained on target generator),Model B (Trained on alternative generators),"Model C (Pre-trained on alternative generators, fine-tuned on target generator)"
174.91677001353509,166.969335421142,166.73341095478682
134.4681374635327,166.00127076769957,165.79959138384564
186.19359496813584,181.11366129973786,180.90201872961364
172.63228385455173,112.56620610580353,112.50655939899234
162.68946279761823,152.67753115909514,152.76411458347852
146.1265307287417,133.02765252811753,132.88615980649763
139.02492329601827,122.44006062890212,122.45923728155685
205.13874306099052,230.25219959654848,230.02966397556605
164.3926302904372,156.85971261376662,156.836257693706
128.54777429831685,135.35863567962448,135.2436365528477
