agent,generator,run_id,step,cumulative_reward
Always Up Agent,Ornstein-Uhlenbeck Generator,001,1,1.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,2,0.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,3,-1.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,4,-2.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,5,-3.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,6,-4.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,7,-5.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,8,-6.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,9,-7.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,10,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,11,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,12,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,13,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,14,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,15,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,16,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,17,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,18,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,19,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,20,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,21,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,22,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,23,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,24,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,25,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,26,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,27,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,28,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,29,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,30,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,31,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,32,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,33,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,34,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,35,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,36,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,37,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,38,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,39,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,40,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,41,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,42,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,43,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,44,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,45,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,46,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,47,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,48,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,49,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,50,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,51,-7.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,52,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,53,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,54,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,55,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,56,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,57,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,58,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,59,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,60,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,61,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,62,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,63,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,64,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,65,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,66,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,67,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,68,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,69,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,70,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,71,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,72,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,73,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,74,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,75,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,76,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,77,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,78,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,79,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,80,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,81,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,82,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,83,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,84,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,85,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,86,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,87,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,88,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,89,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,90,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,91,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,92,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,93,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,94,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,95,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,96,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,97,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,98,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,99,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,001,100,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,1,1.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,2,0.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,3,-1.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,4,-2.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,5,-3.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,6,-4.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,7,-5.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,8,-6.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,9,-7.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,10,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,11,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,12,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,13,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,14,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,15,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,16,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,17,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,18,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,19,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,20,-14.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,21,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,22,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,23,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,24,-18.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,25,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,26,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,27,-17.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,28,-16.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,29,-15.0
Always Up Agent,Ornstein-Uhlenbeck Generator,002,30,-16.0
