agent,generator,run_id,total_steps,start_value,final_cumulative_reward,average_reward
Always Up Agent,Constant Generator,001,100,0.0,-100,-1.0
Always Up Agent,Constant Generator,002,100,0.0,-100,-1.0
Always Up Agent,Linear Trend Generator,001,100,0.0,100,1.0
Always Up Agent,Linear Trend Generator,002,100,0.0,100,1.0
Always Up Agent,Markov Regime-Switching Generator,001,100,0.0,62,0.62
Always Up Agent,Markov Regime-Switching Generator,002,100,0.0,46,0.46
Always Up Agent,Noisy Markov Regime-Switching Generator,001,100,0.0,34,0.34
Always Up Agent,Noisy Markov Regime-Switching Generator,002,100,0.0,22,0.22
Always Up Agent,Ornstein-Uhlenbeck Generator,001,100,0.0,26,0.26
Always Up Agent,Ornstein-Uhlenbeck Generator,002,100,0.0,12,0.12
Always Up Agent,Periodic Trend Generator,001,100,0.0,-2,-0.02
Always Up Agent,Periodic Trend Generator,002,100,0.0,-2,-0.02
Always Up Agent,Random Walk Generator,001,100,0.0,-4,-0.04
Always Up Agent,Random Walk Generator,002,100,0.0,0,0.0
Always Up Agent,Real World Asset Price Generator,001,100,0.0,-12,-0.12
Always Up Agent,Real World Asset Price Generator,002,100,0.0,-12,-0.12
Dynamic Mean Reversion Agent,Constant Generator,001,100,0.0,-100,-1.0
Dynamic Mean Reversion Agent,Constant Generator,002,100,0.0,-100,-1.0
Dynamic Mean Reversion Agent,Linear Trend Generator,001,100,0.0,-100,-1.0
Dynamic Mean Reversion Agent,Linear Trend Generator,002,100,0.0,-100,-1.0
Dynamic Mean Reversion Agent,Markov Regime-Switching Generator,001,100,0.0,-30,-0.3
Dynamic Mean Reversion Agent,Markov Regime-Switching Generator,002,100,0.0,-62,-0.62
Dynamic Mean Reversion Agent,Noisy Markov Regime-Switching Generator,001,100,0.0,-28,-0.28
Dynamic Mean Reversion Agent,Noisy Markov Regime-Switching Generator,002,100,0.0,-42,-0.42
Dynamic Mean Reversion Agent,Ornstein-Uhlenbeck Generator,001,100,0.0,0,0.0
Dynamic Mean Reversion Agent,Ornstein-Uhlenbeck Generator,002,100,0.0,-6,-0.06
Dynamic Mean Reversion Agent,Periodic Trend Generator,001,100,0.0,-80,-0.8
Dynamic Mean Reversion Agent,Periodic Trend Generator,002,100,0.0,-80,-0.8
Dynamic Mean Reversion Agent,Random Walk Generator,001,100,0.0,-14,-0.14
Dynamic Mean Reversion Agent,Random Walk Generator,002,100,0.0,8,0.08
Dynamic Mean Reversion Agent,Real World Asset Price Generator,001,100,0.0,4,0.04
Dynamic Mean Reversion Agent,Real World Asset Price Generator,002,100,0.0,4,0.04
Frequency-Based Majority Agent,Constant Generator,001,100,0.0,-100,-1.0
Frequency-Based Majority Agent,Constant Generator,002,100,0.0,-100,-1.0
Frequency-Based Majority Agent,Linear Trend Generator,001,100,0.0,100,1.0
Frequency-Based Majority Agent,Linear Trend Generator,002,100,0.0,100,1.0
Frequency-Based Majority Agent,Markov Regime-Switching Generator,001,100,0.0,52,0.52
Frequency-Based Majority Agent,Markov Regime-Switching Generator,002,100,0.0,56,0.56
Frequency-Based Majority Agent,Noisy Markov Regime-Switching Generator,001,100,0.0,26,0.26
Frequency-Based Majority Agent,Noisy Markov Regime-Switching Generator,002,100,0.0,4,0.04
Frequency-Based Majority Agent,Ornstein-Uhlenbeck Generator,001,100,0.0,14,0.14
Frequency-Based Majority Agent,Ornstein-Uhlenbeck Generator,002,100,0.0,20,0.2
Frequency-Based Majority Agent,Periodic Trend Generator,001,100,0.0,-2,-0.02
Frequency-Based Majority Agent,Periodic Trend Generator,002,100,0.0,-2,-0.02
Frequency-Based Majority Agent,Random Walk Generator,001,100,0.0,-2,-0.02
Frequency-Based Majority Agent,Random Walk Generator,002,100,0.0,4,0.04
Frequency-Based Majority Agent,Real World Asset Price Generator,001,100,0.0,-16,-0.16
Frequency-Based Majority Agent,Real World Asset Price Generator,002,100,0.0,-16,-0.16
Repeat Last Movement Agent,Constant Generator,001,100,0.0,-100,-1.0
Repeat Last Movement Agent,Constant Generator,002,100,0.0,-100,-1.0
Repeat Last Movement Agent,Linear Trend Generator,001,100,0.0,98,0.98
Repeat Last Movement Agent,Linear Trend Generator,002,100,0.0,98,0.98
Repeat Last Movement Agent,Markov Regime-Switching Generator,001,100,0.0,54,0.54
Repeat Last Movement Agent,Markov Regime-Switching Generator,002,100,0.0,28,0.28
Repeat Last Movement Agent,Noisy Markov Regime-Switching Generator,001,100,0.0,66,0.66
Repeat Last Movement Agent,Noisy Markov Regime-Switching Generator,002,100,0.0,30,0.3
Repeat Last Movement Agent,Ornstein-Uhlenbeck Generator,001,100,0.0,-8,-0.08
Repeat Last Movement Agent,Ornstein-Uhlenbeck Generator,002,100,0.0,8,0.08
Repeat Last Movement Agent,Periodic Trend Generator,001,100,0.0,92,0.92
Repeat Last Movement Agent,Periodic Trend Generator,002,100,0.0,92,0.92
