episode,day,actions,allocation_weights,portfolio_return,reward,new_portfolio_value
1,1,"[0.5, 0.5]","0.50, 0.50",-0.05%,999500.00,"999,500"
1,2,"1.00, 0.05","0.72, 0.28",-0.03%,999221.80,"999,222"
1,3,"0.00, 0.00","0.50, 0.50",-0.05%,998721.19,"998,721"
1,4,"0.00, 0.30","0.43, 0.57",-0.06%,998145.23,"998,145"
1,5,"0.44, 0.00","0.61, 0.39",-0.04%,997752.07,"997,752"
1,6,"0.70, 1.00","0.42, 0.58",-0.06%,997174.92,"997,175"
1,7,"0.00, 0.00","0.50, 0.50",-0.05%,996673.32,"996,673"
1,8,"0.00, 0.00","0.50, 0.50",-0.05%,996171.47,"996,171"
1,9,"0.00, 0.00","0.50, 0.50",-0.05%,995669.37,"995,669"
1,10,"0.00, 0.58","0.36, 0.64",-0.06%,995026.32,"995,026"
1,11,"0.18, 0.00","0.55, 0.45",-0.05%,994570.07,"994,570"
1,12,"0.00, 0.00","0.50, 0.50",-0.05%,994067.25,"994,067"
1,13,"0.00, 0.00","0.50, 0.50",-0.05%,993564.18,"993,564"
1,14,"0.00, 1.00","0.27, 0.73",-0.07%,992828.26,"992,828"
1,15,"0.95, 0.00","0.72, 0.28",-0.03%,992547.05,"992,547"
1,16,"0.10, 0.54","0.39, 0.61",-0.06%,991935.61,"991,936"
1,17,"0.45, 1.00","0.37, 0.63",-0.06%,991296.85,"991,297"
1,18,"1.00, 0.46","0.63, 0.37",-0.04%,990924.48,"990,924"
1,19,"0.41, 0.00","0.60, 0.40",-0.04%,990523.12,"990,523"
1,20,"0.00, 1.00","0.27, 0.73",-0.07%,989784.97,"989,785"
1,21,"0.00, 1.00","0.27, 0.73",-0.07%,989046.61,"989,047"
1,22,"0.59, 0.40","0.55, 0.45",-0.05%,988589.11,"988,589"
1,23,"0.00, 1.00","0.27, 0.73",-0.07%,987850.14,"987,850"
1,24,"0.44, 0.00","0.61, 0.39",-0.04%,987454.92,"987,455"
1,25,"0.00, 0.47","0.38, 0.62",-0.06%,986831.33,"986,831"
1,26,"1.00, 0.16","0.70, 0.30",-0.03%,986525.35,"986,525"
1,27,"0.00, 0.00","0.50, 0.50",-0.05%,986018.92,"986,019"
1,28,"0.78, 1.00","0.45, 0.55",-0.06%,985456.95,"985,457"
1,29,"0.95, 0.00","0.72, 0.28",-0.03%,985173.49,"985,173"
1,30,"1.00, 0.96","0.51, 0.49",-0.05%,984676.05,"984,676"
1,31,"0.00, 1.00","0.27, 0.73",-0.08%,983933.93,"983,934"
1,32,"0.00, 0.00","0.50, 0.50",-0.05%,983426.22,"983,426"
1,33,"0.00, 0.81","0.31, 0.69",-0.07%,982723.13,"982,723"
1,34,"0.00, 0.54","0.37, 0.63",-0.07%,982081.30,"982,081"
1,35,"0.67, 0.00","0.66, 0.34",-0.03%,981737.67,"981,738"
1,36,"0.27, 0.08","0.55, 0.45",-0.05%,981276.23,"981,276"
1,37,"0.74, 1.00","0.44, 0.56",-0.06%,980701.95,"980,702"
1,38,"0.00, 0.49","0.38, 0.62",-0.06%,980069.70,"980,070"
1,39,"0.76, 0.00","0.68, 0.32",-0.03%,979745.73,"979,746"
1,40,"1.00, 0.00","0.73, 0.27",-0.03%,979471.54,"979,472"
1,41,"0.00, 0.00","0.50, 0.50",-0.05%,978961.40,"978,961"
1,42,"0.73, 0.00","0.67, 0.33",-0.03%,978629.06,"978,629"
1,43,"0.00, 0.60","0.36, 0.64",-0.07%,977970.48,"977,970"
1,44,"1.00, 1.00","0.50, 0.50",-0.05%,977459.52,"977,460"
1,45,"0.48, 0.00","0.62, 0.38",-0.04%,977068.59,"977,069"
1,46,"0.00, 1.00","0.27, 0.73",-0.08%,976320.63,"976,321"
1,47,"0.00, 0.00","0.50, 0.50",-0.05%,975808.93,"975,809"
1,48,"0.00, 0.88","0.29, 0.71",-0.07%,975086.01,"975,086"
1,49,"0.77, 0.00","0.68, 0.32",-0.03%,974762.89,"974,763"
1,50,"0.00, 0.00","0.50, 0.50",-0.05%,974250.39,"974,250"
1,51,"1.00, 0.00","0.73, 0.27",-0.03%,973974.59,"973,975"
1,52,"0.00, 0.39","0.40, 0.60",-0.06%,973362.57,"973,363"
1,53,"1.00, 0.00","0.73, 0.27",-0.03%,973086.43,"973,086"
1,54,"0.93, 0.13","0.69, 0.31",-0.03%,972766.91,"972,767"
1,55,"0.00, 0.33","0.42, 0.58",-0.06%,972169.73,"972,170"
1,56,"0.00, 0.00","0.50, 0.50",-0.05%,971655.35,"971,655"
1,57,"0.00, 0.00","0.50, 0.50",-0.05%,971140.70,"971,141"
1,58,"0.00, 0.00","0.50, 0.50",-0.05%,970625.78,"970,626"
1,59,"0.00, 0.00","0.50, 0.50",-0.05%,970110.59,"970,111"
1,60,"0.00, 0.63","0.35, 0.65",-0.07%,969438.21,"969,438"
1,61,"1.00, 0.00","0.73, 0.27",-0.03%,969160.45,"969,160"
1,62,"0.00, 0.00","0.50, 0.50",-0.05%,968644.39,"968,644"
1,63,"0.00, 1.00","0.27, 0.73",-0.08%,967889.44,"967,889"
1,64,"0.25, 0.00","0.56, 0.44",-0.05%,967438.31,"967,438"
1,65,"0.94, 0.20","0.68, 0.32",-0.03%,967103.81,"967,104"
1,66,"0.61, 0.00","0.65, 0.35",-0.04%,966738.66,"966,739"
1,67,"0.66, 1.00","0.42, 0.58",-0.06%,966135.19,"966,135"
1,68,"0.12, 1.00","0.29, 0.71",-0.08%,965402.69,"965,403"
1,69,"0.00, 0.70","0.33, 0.67",-0.07%,964710.29,"964,710"
1,70,"0.00, 0.00","0.50, 0.50",-0.05%,964192.19,"964,192"
1,71,"0.00, 0.58","0.36, 0.64",-0.07%,963527.22,"963,527"
1,72,"0.27, 0.74","0.38, 0.62",-0.07%,962888.82,"962,889"
1,73,"0.00, 0.00","0.50, 0.50",-0.05%,962370.02,"962,370"
1,74,"0.00, 0.00","0.50, 0.50",-0.05%,961850.95,"961,851"
1,75,"0.00, 0.00","0.50, 0.50",-0.05%,961331.59,"961,332"
1,76,"0.23, 0.38","0.46, 0.54",-0.06%,960772.02,"960,772"
1,77,"0.02, 1.00","0.27, 0.73",-0.08%,960016.14,"960,016"
1,78,"0.50, 0.00","0.62, 0.38",-0.04%,959623.88,"959,624"
1,79,"0.00, 0.68","0.34, 0.66",-0.07%,958933.77,"958,934"
1,80,"0.88, 1.00","0.47, 0.53",-0.06%,958380.80,"958,381"
1,81,"1.00, 0.73","0.57, 0.43",-0.05%,957930.71,"957,931"
1,82,"0.00, 0.83","0.30, 0.70",-0.08%,957204.99,"957,205"
