Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Application of deep reinforcement learning in asset liability management,"Wekwete, T.A.; Kufakunesu, R.; van Zyl, G.",,2023,,Intelligent Systems with Applications,20,,,,10.1016/j.iswa.2023.200286,,#8,Wekwete 2023,Exclusion reason: Does not address research questions; ,""
Short-Term Electricity Futures Investment Strategies for Power Producers Based on Multi-Agent Deep Reinforcement Learning,"Wang, Y.; Shi, E.; Xu, Y.; Hu, J.; Feng, C.",,2024,,Energies,17,21,,,10.3390/en17215350,,#28,Wang 2024,Exclusion reason: Does not address research questions; ,Financial Application
A NOVEL STOCK PORTFOLIO MODEL BASED ON DEEP REINFORCEMENT LEARNING,"Li, H.; Hai, M.; Zhang, Y.; Li, P.",,2021,,Journal of Nonlinear and Convex Analysis,22,9,1791-1804,,,,#32,Li 2021,Exclusion reason: Full-text not available; ,""
Optimal Coordination for Multiple Network-Constrained VPPs via Multi-Agent Deep Reinforcement Learning,"Liu, X.; Li, S.; Zhu, J.",,2023,,IEEE Transactions on Smart Grid,14,4,3016-3031,,10.1109/TSG.2022.3225814,,#49,Liu 2023,Exclusion reason: Does not address research questions; ,""
Deep Reinforcement Learning for Portfolio Management,"Ma, Y.; Liu, Z.; McAllister, C.D.",,2023,,International Journal of Computers and their Applications,30,2,93-106,,,,#51,Ma 2023,Exclusion reason: Full-text not available; ,""
Reinforcement Learning Techniques for Stock Trading: A Survey of Current Research,"Borkar, S.; Jadhav, A.",,2024,,Journal of Financial Data Science,6,3,38-56,,10.3905/jfds.2024.1.161,,#60,Borkar 2024,Exclusion reason: Full-text not available; ,Review
Deep Q-Learning for Trading Cryptocurrency,"Ma, Y.C.; Wang, Z.; Fleiss, A.",,2021,,Journal of Financial Data Science,3,3,121-127,,10.3905/jfds.2021.1.064,,#62,Ma 2021,Exclusion reason: Full-text not available; ,Financial Application
Portfolio Optimization in Dynamic Markets: Reinforcement Learning for Investment,"Sarkar, P.; Dwibedi, P.; Deore, S.S.; Gawali, T.; Kulkarni, M.D.; Saha, A.",,2024,,International Journal of Intelligent Systems and Applications in Engineering,12,13s,386-395,,,,#63,Sarkar 2024,Exclusion reason: Full-text not available; ,""
Deep Reinforcement Learning for Option Replication and Hedging,"Du, J.; Jin, M.; Kolm, P.N.; Rritter, G.; Wang, Y.; Zhang, B.",,2020,,Journal of Financial Data Science,2,4,44-57,,10.3905/jfds.2020.1.045,,#65,Du 2020,Exclusion reason: Full-text not available; ,Financial Application
ISLAMIC STOCK PORTFOLIO OPTIMIZATION USING DEEP REINFORCEMENT LEARNING,"Faturohman, T.; Nugraha, T.",,2022,,Journal of Islamic Monetary Economics and Finance,8,2,181-200,,10.21098/jimf.v8i2.1430,,#76,Faturohman 2022,Exclusion reason: Full-text not available; ,Financial Application
Deep Reinforcement Learning in Cryptocurrency Trading: A Profitable Approach,"Tay, X.H.; Lim, S.M.",,2024,,Journal of Telecommunications and the Digital Economy,12,3,126-147,,10.18080/jtde.v12n3.985,,#78,Tay 2024,Exclusion reason: Full-text not available; ,Financial Application
Deep Reinforcement Learning-Based Trading Strategy for Load Aggregators on Price-Responsive Demand,"Yang, G.; Du, S.; Duan, Q.; Su, J.",,2022,,Computational Intelligence and Neuroscience,2022,,,,10.1155/2022/6884956,,#79,Yang 2022,Exclusion reason: Does not address research questions; ,""
Flexible recommendation for optimizing the debt collection process based on customer risk using deep reinforcement learning,"Sivamayilvelan, K.; Rajasekar, E.; Vairavasundaram, S.; Balachandran, S.; Suresh, V.",,2024,,Expert Systems with Applications,256,,,,10.1016/j.eswa.2024.124951,,#97,Sivamayilvelan 2024,Exclusion reason: Does not address research questions; ,""
Optimization of Peer-to-Peer Energy Trading with a Model-Based Deep Reinforcement Learning in a Non-Sharing Information Scenario,"Uthayansuthi, N.; Vateekul, P.",,2024,,IEEE Access,12,,111021-111034,,10.1109/ACCESS.2024.3442445,,#109,Uthayansuthi 2024,Exclusion reason: Does not address research questions; ,""
Applying Artificial Intelligence in Cryptocurrency Markets: A Survey,"Amirzadeh, R.; Nazari, A.; Thiruvady, D.",,2022,,Algorithms,15,11,,,10.3390/a15110428,,#110,Amirzadeh 2022,Exclusion reason: Does not address research questions; ,""
Blockchain-Enabled Resource Trading and Deep Reinforcement Learning-Based Autonomous RAN Slicing in 5G,"Boateng, G.O.; Ayepah-Mensah, D.; Doe, D.M.; Mohammed, A.; Sun, G.; Liu, G.",,2022,,IEEE Transactions on Network and Service Management,19,1,216-227,,10.1109/TNSM.2021.3124046,,#111,Boateng 2022,Exclusion reason: Does not address research questions; ,""
