"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FSNAUWL4","journalArticle","2022","Park, H.J.; Kim, Y.; Kim, H.Y.","Stock market forecasting using a multi-task approach integrating long short-term memory and the random forest framework","Applied Soft Computing","","15684946 (ISSN)","10.1016/j.asoc.2021.108106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120627694&doi=10.1016%2fj.asoc.2021.108106&partnerID=40&md5=f6504cb5f57965a76263e18224c25900","Numerous studies have adopted deep learning (DL) in financial market forecasting models owing to its superior performance. The DL models require as many relevant input variables as possible to improve performance because they learn high-level features from these inputs. However, as the number of input variables increases, the number of parameters also increases, leaving the model prone to overfitting. We propose a novel stock-market prediction framework (LSTM–Forest) integrating long short-term memory and random forest (RF) to address this issue. We also develop a multi-task model that predicts stock market returns and classifies return directions to improve predictability and profitability. Our model is interpretable because it can identify key variables using the variable importance analysis from RF. We used three global stock indices and 43 financial technical indicators to verify the proposed methods experimentally. The root mean squared errors of LSTM–Forest with multi-task (LFM) in predicting returns from S&P500, SSE, and KOSPI200 were 25.53%, 22.75%, and 16.29% lower, respectively, than those of the baseline RF model. The model's balanced accuracy in forecasting the daily return direction increased by 7.37, 1.68, and 3.79 points, respectively. Furthermore, our multi-task model outperforms our single-task model and previous DL approaches. In the trading test, LFM produced the highest profits—even compared with the long-only strategy when transaction costs were considered. The proposed framework is readily extensible to other tasks and fields that contend with high-dimensionality problems. © 2021 Elsevier B.V.","2022","2025-02-19 08:50:16","2025-02-19 08:50:16","","","","","114","","Appl. Soft Comput.","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/LATZCV3F/Park et al. - 2022 - Stock market forecasting using a multi-task approach integrating long short-term memory and the rand.pdf","","","Brain; Commerce; Costs; Decision trees; Electronic trading; Explainable AI; Financial markets; Financial time series forecasting; Financial time-series forecasting; Forecasting; Hybrid deep learning; Input variables; Long short-term memory; Market forecasting; Mean square error; Multi tasks; Multi-task learning; Multi-task model; Overfitting; Profitability; Random forests; Stock market forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEP8W9NM","journalArticle","2024","Giudici, P.; Piergallini, A.; Recchioni, M.C.; Raffinetti, E.","Explainable Artificial Intelligence methods for financial time series","Physica A: Statistical Mechanics and its Applications","","03784371 (ISSN)","10.1016/j.physa.2024.130176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207597734&doi=10.1016%2fj.physa.2024.130176&partnerID=40&md5=6fbd15540606c2b360e03c6a14c139b1","We consider the problem of developing explainable Artificial Intelligence methods to interpret the results of Artificial Intelligence models for time series data, taking time dependency into account. To this end, we extend the Shapley–Lorenz method, normalised by construction, to Artificial Intelligence for time series, such as neural networks and recurrent neural networks. We illustrate the application of our proposal to a time series of Bitcoin prices, which acts as the response variable, along with time series of classical financial prices, which act as explanatory variables. Three main findings emerge from the analysis. First, recurrent neural networks lead to a better performance, in terms of accuracy and robustness, with respect to classic neural networks. Second, the best performing models indicate that Bitcoin prices are affected mostly by their lagged values, and that their explainability, in terms of classical financial assets, is limited. Third, although limited, the contribution of classical assets to Bitcoin price prediction is well captured by recurrent neural networks. © 2024 The Authors","2024","2025-02-19 08:50:16","2025-02-19 08:50:16","","","","","655","","Phys A Stat Mech Appl","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/YRSG2CML/Giudici et al. - 2024 - Explainable Artificial Intelligence methods for financial time series.pdf","","","Artificial intelligence methods; Bitcoin; Bitcoin price; Bitcoin prices; Costs; Decentralized finance; Explainable artificial intelligence; Explainable Artificial Intelligence; Financial time series; Intelligence models; LSTM and GRU; Neural-networks; Recurrent neural networks; Shapley; Shapley–lorenz value; Shapley–Lorenz values; Time series; Times series","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9F6RCFG","journalArticle","2024","Parente, M.; Rizzuti, L.; Trerotola, M.","A profitable trading algorithm for cryptocurrencies using a Neural Network model","Expert Systems with Applications","","09574174 (ISSN)","10.1016/j.eswa.2023.121806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173171749&doi=10.1016%2fj.eswa.2023.121806&partnerID=40&md5=cc95f17cc0f905e9a231f99c41c77994","Algorithmic trading enables the execution of orders using a set of rules determined by a computer program. Orders are submitted based on an asset's expected price in the future, an approach well suited for high-volatility markets, such as those trading in cryptocurrencies. The goal of this study is to find a reliable and profitable model to predict the future direction of a crypto asset's price based on publicly available historical data. We first develop a novel labeling scheme and map this problem into a Machine Learning classification problem. The model is then validated on three major cryptocurrencies through an extensive backtest over a bull, bear and flat market. Finally, the contribution of each feature to the classification output is analyzed. © 2023 The Author(s)","2024","2025-02-19 08:50:15","2025-02-19 08:50:15","","","","","238","","Expert Sys Appl","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/LIB4NTNH/Parente et al. - 2024 - A profitable trading algorithm for cryptocurrencies using a Neural Network model.pdf","","","Algorithmic trading; Backtesting; Commerce; Cryptocurrencies; Cryptography; Explainable AI; High volatility; Machine learning; Machine-learning; Neural network; Neural network model; Neural-networks; Price prediction; Profitability; Set of rules; Shapley value; Shapley values","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MT3KUHCR","conferencePaper","2023","Valensky, D.; Mohaghegh, M.","Evaluating Transparency: A Cross-Model Exploration of Explainable AI in Financial Forecasting","Proc. IEEE Asia-Pacific Conf. Comput. Sci. Data Eng., CSDE","979-835034107-2 (ISBN)","","10.1109/CSDE59766.2023.10487732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190584224&doi=10.1109%2fCSDE59766.2023.10487732&partnerID=40&md5=159bc17432f7a038c899c8f129e75827","Advances in machine learning and deep learning have assisted progress in stock market predictions, which have presented unique opportunities for investors and traders to benefit from predictions. However, understanding how these models work is crucial to trusting their predictions. This research applies three prominent Explainable AI (XAI) techniques - SHAP, LIME, and Permutation Importance - to three distinct forecasting models: Long Short-Term Memory (LSTM), Convolutional Neural Network (CNN), and Decision Tree. This work fills a gap in the literature by comparing XAI methods across a combination of 'black-box' and 'white-box' models. Two key research questions guide this research: the performance of these XAI methods across the chosen models and the consistency between global and local explanations across these models. Findings reveal interesting model-specific behaviors, like CNN's emphasis on slightly older data and LSTM's focus on immediate past data. In the S&P 500 dataset context, features such as 'Close' and 'Adj Close' prices emerged as significant across models, while 'Volume' remained insignificant. This study offers a broader perspective on applying XAI in financial time series forecasting and helps enhance trust and comprehension among stakeholders relying on these model predictions.  © 2023 IEEE.","2023","2025-02-19 08:50:15","2025-02-19 08:50:15","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/VMSRNY5P/Valensky and Mohaghegh - 2023 - Evaluating Transparency A Cross-Model Exploration of Explainable AI in Financial Forecasting.pdf","","","Black boxes; Commerce; Convolutional neural network; Convolutional neural networks; Cross model; Decision trees; Explainable AI; Financial forecasting; Financial markets; Forecasting; Forecasting models; Investments; Lime; Long short-term memory; Machine-learning; Research questions; Stock market prediction; White-box models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2023","","","","","","","","","","","","","","",""
"ICEM7JC2","journalArticle","2024","Mienye, E.; Jere, N.; Obaido, G.; Mienye, I.D.; Aruleba, K.","Deep Learning in Finance: A Survey of Applications and Techniques","AI (Switzerland)","","26732688 (ISSN)","10.3390/ai5040101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213432874&doi=10.3390%2fai5040101&partnerID=40&md5=a5aaf3aefbf4fd2a3ddd2c35c3ee8e2a","Machine learning (ML) has transformed the financial industry by enabling advanced applications such as credit scoring, fraud detection, and market forecasting. At the core of this transformation is deep learning (DL), a subset of ML that is robust in processing and analyzing complex and large datasets. This paper provides a comprehensive overview of key deep learning models, including Convolutional Neural Networks (CNNs), Long Short-Term Memory networks (LSTMs), Deep Belief Networks (DBNs), Transformers, Generative Adversarial Networks (GANs), and Deep Reinforcement Learning (Deep RL). Beyond summarizing their mathematical foundations and learning processes, this study offers new insights into how these models are applied in real-world financial contexts, highlighting their specific advantages and limitations in tasks such as algorithmic trading, risk management, and portfolio optimization. It also examines recent advances and emerging trends in the financial industry alongside critical challenges such as data quality, model interpretability, and computational complexity. These insights can guide future research directions toward developing more efficient, robust, and explainable financial models that address the evolving needs of the financial sector. © 2024 by the authors.","2024","2025-02-19 08:50:14","2025-02-19 08:50:14","","2066-2091","","4","5","","AI.","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/56W2TZDM/Mienye et al. - 2024 - Deep Learning in Finance A Survey of Applications and Techniques.pdf","","","CNN; deep learning; finance; GRU; LSTM; machine learning; RNN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ELHBMGQ","journalArticle","2024","Weber, P.; Carl, K.V.; Hinz, O.","Applications of Explainable Artificial Intelligence in Finance—a systematic review of Finance, Information Systems, and Computer Science literature","Management Review Quarterly","","21981620 (ISSN)","10.1007/s11301-023-00320-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149028658&doi=10.1007%2fs11301-023-00320-0&partnerID=40&md5=4aa9ba5bf7b34903d383773d2ec008bf","Digitalization and technologization affect numerous domains, promising advantages but also entailing risks. Hence, when decision-makers in highly-regulated domains like Finance implement these technological advances—especially Artificial Intelligence—regulators prescribe high levels of transparency, assuring the traceability of decisions for third parties. Explainable Artificial Intelligence (XAI) is of tremendous importance in this context. We provide an overview of current research on XAI in Finance with a systematic literature review screening 2,022 articles from leading Finance, Information Systems, and Computer Science outlets. We identify a set of 60 relevant articles, classify them according to the used XAI methods and goals that they aim to achieve, and provide an overview of XAI methods used in different Finance areas. Areas like risk management, portfolio optimization, and applications around the stock market are well-researched, while anti-money laundering is understudied. Researchers implement both transparent models and post-hoc explainability, while they recently favored the latter. © The Author(s) 2023.","2024","2025-02-19 08:50:13","2025-02-19 08:50:13","","867-907","","2","74","","Manag. Rev. Q.","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/YJ8DSCJC/Weber et al. - 2024 - Applications of Explainable Artificial Intelligence in Finance—a systematic review of Finance, Infor.pdf","","","Explainable artificial intelligence; Finance; G00; L50; Machine learning; Review; Systematic literature review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CYWWUNT","journalArticle","2022","Deng, S.; Zhu, Y.; Huang, X.; Duan, S.; Fu, Z.","High-Frequency Direction Forecasting of the Futures Market Using a Machine-Learning-Based Method","Future Internet","","19995903 (ISSN)","10.3390/fi14060180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132744891&doi=10.3390%2ffi14060180&partnerID=40&md5=112bb23a2875193d301317440d9f78f2","Futures price-movement-direction forecasting has always been a significant and challenging subject in the financial market. In this paper, we propose a combination approach that integrates the XGBoost (eXtreme Gradient Boosting), SMOTE (Synthetic Minority Oversampling Technique), and NSGA-II (Non-dominated Sorting Genetic Algorithm-II) methods. We applied the proposed approach on the direction prediction and simulation trading of rebar futures, which are traded on the Shanghai Futures Exchange. Firstly, the minority classes of the high-frequency rebar futures price change magnitudes are oversampled using the SMOTE algorithm to overcome the imbalance problem of the class data. Then, XGBoost is adopted to construct a multiclassification model for the price-movement-direction prediction. Next, the proposed approach employs NSGA-II to optimize the parameters of the pre-designed trading rule for trading simulation. Finally, the price-movement direction is predicted, and we conducted the high-frequency trading based on the optimized XGBoost model and the trading rule, with the classification and trading performances empirically evaluated by four metrics over four testing periods. Meanwhile, the LIME (Local Interpretable Model-agnostic Explanations) is applied as a model explanation approach to quantify the prediction contributions of features to the forecasting samples. From the experimental results, we found that the proposed approach performed best in terms of direction prediction accuracy, profitability, and return–risk ratio. The proposed approach could be beneficial for decision-making of the rebar traders and related companies engaged in rebar futures trading. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","2022","2025-02-19 08:50:12","2025-02-19 08:50:12","","","","6","14","","Future Internet","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/RBS6JTF2/Deng et al. - 2022 - High-Frequency Direction Forecasting of the Futures Market Using a Machine-Learning-Based Method.pdf","","","Commerce; decision making; Decision making; Decisions makings; Electronic trading; Financial markets; Forecasting; Genetic algorithms; High frequency HF; Lime; Machine learning; model explanation; Model explanation; Multi-classification; Multi-objectives optimization; multiclassification; multiobjective optimization; Multiobjective optimization; Non dominated sorting genetic algorithm ii (NSGA II); Price movement; Rebar future; rebar futures; Synthetic minority over-sampling techniques; Trading rules","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5W38W48","conferencePaper","2023","Cau, F.M.; Hauptmann, H.; Spano, L.D.; Tintarev, N.","Supporting High-Uncertainty Decisions through AI and Logic-Style Explanations","Int Conf Intell User Interfaces Proc IUI","979-840070106-1 (ISBN)","","10.1145/3581641.3584080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152126463&doi=10.1145%2f3581641.3584080&partnerID=40&md5=63ffa7ef2bc341658ea8b3d85b355ba4","A common criteria for Explainable AI (XAI) is to support users in establishing appropriate trust in the AI - rejecting advice when it is incorrect, and accepting advice when it is correct. Previous findings suggest that explanations can cause an over-reliance on AI (overly accepting advice). Explanations that evoke appropriate trust are even more challenging for decision-making tasks that are difficult for humans and AI. For this reason, we study decision-making by non-experts in the high-uncertainty domain of stock trading. We compare the effectiveness of three different explanation styles (influenced by inductive, abductive, and deductive reasoning) and the role of AI confidence in terms of a) the users' reliance on the XAI interface elements (charts with indicators, AI prediction, explanation), b) the correctness of the decision (task performance), and c) the agreement with the AI's prediction. In contrast to previous work, we look at interactions between different aspects of decision-making, including AI correctness, and the combined effects of AI confidence and explanations styles. Our results show that specific explanation styles (abductive and deductive) improve the user's task performance in the case of high AI confidence compared to inductive explanations. In other words, these styles of explanations were able to invoke correct decisions (for both positive and negative decisions) when the system was certain. In such a condition, the agreement between the user's decision and the AI prediction confirms this finding, highlighting a significant agreement increase when the AI is correct. This suggests that both explanation styles are suitable for evoking appropriate trust in a confident AI. Our findings further indicate a need to consider AI confidence as a criterion for including or excluding explanations from AI interfaces. In addition, this paper highlights the importance of carefully selecting an explanation style according to the characteristics of the task and data.  © 2023 ACM.","2023","2025-02-19 08:50:12","2025-02-19 08:50:12","","251-263","","","","","","","","","","","Association for Computing Machinery","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/G69X7UPC/Cau et al. - 2023 - Supporting High-Uncertainty Decisions through AI and Logic-Style Explanations.pdf","","","Abductive; AI confidence; Commerce; Decision making; Decisions makings; Deductive; Financial markets; Forecasting; Inductive; Logical reasoning; Random forest; Random forests; Stock market prediction; Task performance; XAI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Intelligent User Interfaces, Proceedings IUI","","","","","","","","","","","","","","",""
"EVDW9JZD","journalArticle","2022","Freeborough, W.; van Zyl, T.","Investigating Explainability Methods in Recurrent Neural Network Architectures for Financial Time Series Data","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app12031427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123526727&doi=10.3390%2fapp12031427&partnerID=40&md5=d9be785b6309d801ee4ced63b8c07b54","Statistical methods were traditionally primarily used for time series forecasting. However, new hybrid methods demonstrate competitive accuracy, leading to increased machine-learning-based methodologies in the financial sector. However, very little development has been seen in explainable AI (XAI) for financial time series prediction, with a growing mandate for explainable systems. This study aims to determine if the existing XAI methodology is transferable to the context of financial time series prediction. Four popular methods, namely, ablation, permutation, added noise, and integrated gradients, were applied to a recurrent neural network (RNN), long short-term memory (LSTM), and a gated recurrent unit (GRU) network trained on S&P 500 stocks data to determine the importance of features, individual data points, and specific cells in each architecture. The explainability analysis revealed that GRU displayed the most significant ability to retain long-term information, while the LSTM disregarded most of the given input and instead showed the most notable granularity to the considered inputs. Lastly, the RNN displayed features indicative of no long-term memory retention. The applied XAI methods produced complementary results, reinforcing paradigms on significant differences in how different architectures predict. The results show that these methods are transferable in the financial forecasting sector, but a more sophisticated hybrid prediction system requires further confirmation. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","2022","2025-02-19 08:50:12","2025-02-19 08:50:12","","","","3","12","","Appl. Sci.","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/H2II6J34/Freeborough and van Zyl - 2022 - Investigating Explainability Methods in Recurrent Neural Network Architectures for Financial Time Se.pdf","","","GRU; LSTM; Time series forecasting; XAI RNN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6SCTAIW8","journalArticle","2024","Abdullah, M.; Sulong, Z.; Ashraful Ferdous Chowdhury, M.","Explainable deep learning model for stock price forecasting using textual analysis","Expert Systems with Applications","","09574174 (ISSN)","10.1016/j.eswa.2024.123740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189183934&doi=10.1016%2fj.eswa.2024.123740&partnerID=40&md5=5aa73472f871eef21e9a9d1371b498a2","Stock price forecasting is a challenging task because financial time series are primarily nonlinear, noisy, and disordered systems that are complicated to forecast. Deep learning models show promise in this domain along with natural language processing, to extract relevant features from text data and map them to numerical representations. This study aims to forecast stock prices using text analysis and deep learning approaches and explain the models using explainable AI. We construct a World Halal Tourism Composite Sentiment Index (WHTCSI) using text analysis to forecast halal tourism stock price. The results suggest that Convolutional Neural Networks (CNN) outperform all other models. The results are robust when considering country-level data. In addition, model explanations show that the index contributes 35.55% to the forecasting model, indicating irrational investment activity and herding behavior in the halal tourism industry. The study's findings have significant implications for investors, analysts, and portfolio managers in making investment decisions. © 2024 Elsevier Ltd","2024","2025-02-19 08:50:11","2025-02-19 08:50:11","","","","","249","","Expert Sys Appl","","","","","","","","English","","","Scopus","","","","","","/Users/jensreil/Zotero/storage/RTKY66NA/Abdullah et al. - 2024 - Explainable deep learning model for stock price forecasting using textual analysis.pdf","","","CNN; Convolutional neural network; Convolutional neural networks; Costs; Deep learning; Electronic trading; Financial markets; Forecasting; Halal tourism; Investments; Learning models; Learning systems; Sentiment analysis; Stock forecasting; Stock price; Stock price forecasting; Text analysis; Textual-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
