,Instrument,Date,ESG Score
0,AAPL.OQ,2023-09-30,74.5344002952046
1,AMGN.OQ,2023-12-31,78.524445988858
2,AXP.N,2023-12-31,66.6033521352741
3,BA.N,2023-12-31,79.5478801705377
4,CAT.N,2023-12-31,78.6361550524176
5,CRM.N,2023-01-31,64.2504480781837
6,CSCO.OQ,2023-07-29,82.4981684893033
7,CVX.N,2023-12-31,65.5516379131929
8,DIS.N,2023-09-30,67.681608246847
9,GS.N,2023-12-31,83.8480624435309
10,HD.N,2023-01-29,65.0118383426995
11,HON.OQ,2023-12-31,70.2793101945967
12,IBM.N,2023-12-31,72.0308007113399
13,INTC.OQ,2023-12-30,88.6994950048666
14,JNJ.N,2023-12-31,85.238607352481
15,JPM.N,2023-12-31,79.9227233522695
16,KO.N,2023-12-31,67.3359558878382
17,MCD.N,2023-12-31,66.2379385556093
18,MMM.N,2023-12-31,88.9908511572132
19,MRK.N,2023-12-31,77.4982139738626
20,MSFT.OQ,2023-06-30,87.5292846684271
21,NKE.N,2023-05-31,70.0820657172722
22,PG.N,2023-06-30,57.6460910015468
23,TRV.N,2023-12-31,67.0955915344501
24,UNH.N,2023-12-31,76.1185130091178
25,V.N,2023-09-30,57.3349010347093
26,VZ.N,2023-12-31,69.3595157927361
27,WBA.OQ^H25,2023-08-31,90.1721318845485
28,WMT.OQ,2023-01-31,80.8177728788821
